open,close,high,low,datetime,datetime
12531.59963443649,12529.12315016034,12531.59963443649,12520.00716256255,1676471400000,2023-02-15 14:30:00
12530.3216924517,12549.57162218455,12552.57088632461,12518.93178820638,1676471460000,2023-02-15 14:31:00
12547.33026650882,12554.73557443432,12557.33883039301,12546.19216238132,1676471520000,2023-02-15 14:32:00
12554.73920952925,12562.34704203585,12562.34704203585,12546.28583090958,1676471580000,2023-02-15 14:33:00
12561.08188035738,12555.38033795586,12565.08799166395,12555.38033795586,1676471640000,2023-02-15 14:34:00
12553.87206645434,12554.81885964065,12561.45836794483,12545.87083799552,1676471700000,2023-02-15 14:35:00
12553.90482694425,12559.90621992236,12562.78412877898,12552.28785493717,1676471760000,2023-02-15 14:36:00
12558.9422633809,12564.6221781161,12569.14373133588,12556.27763579224,1676471820000,2023-02-15 14:37:00
12564.08369418846,12554.23507675727,12564.08369418846,12547.28353981318,1676471880000,2023-02-15 14:38:00
12554.27721162658,12540.24957929816,12556.23864712953,12540.24957929816,1676471940000,2023-02-15 14:39:00
12540.06738472943,12527.75449837064,12551.80378088015,12527.37170519606,1676472000000,2023-02-15 14:40:00
12527.54518624064,12553.65360818048,12554.85858070249,12527.54518624064,1676472060000,2023-02-15 14:41:00
12553.34527018348,12570.12008541078,12573.34771284731,12546.48284481708,1676472120000,2023-02-15 14:42:00
12569.40927850053,12554.25890785048,12569.40927850053,12553.04649313537,1676472180000,2023-02-15 14:43:00
12555.22410085371,12557.4324856392,12565.57440760854,12554.37167267167,1676472240000,2023-02-15 14:44:00
12556.80711593576,12555.24154514327,12561.02231446379,12550.74312723639,1676472300000,2023-02-15 14:45:00
12555.42426923236,12561.92801672169,12565.44413407478,12546.88968858491,1676472360000,2023-02-15 14:46:00
12562.42926162129,12570.94797322455,12571.39460407517,12562.42926162129,1676472420000,2023-02-15 14:47:00
12569.73274420029,12572.52990570537,12574.09809410269,12563.6121223918,1676472480000,2023-02-15 14:48:00
12572.07246627322,12581.71762284988,12581.71762284988,12569.83705321063,1676472540000,2023-02-15 14:49:00
12582.88248055679,12575.48822776887,12585.09667065896,12575.48822776887,1676472600000,2023-02-15 14:50:00
12575.96155687805,12565.04479690079,12575.96155687805,12562.38547297,1676472660000,2023-02-15 14:51:00
12564.68548496742,12554.87452513389,12564.8134089358,12554.87452513389,1676472720000,2023-02-15 14:52:00
12555.21200913839,12522.11196210052,12555.78667054094,12516.73554497418,1676472780000,2023-02-15 14:53:00
12522.29586530784,12513.29815468482,12522.3616266247,12505.2230185359,1676472840000,2023-02-15 14:54:00
12513.43944739271,12524.25426798229,12531.16800308323,12513.16667652237,1676472900000,2023-02-15 14:55:00
12523.71266865257,12513.72391995809,12527.1355643238,12510.04413404649,1676472960000,2023-02-15 14:56:00
12513.36724886383,12509.70277499346,12514.27231732503,12505.25379788363,1676473020000,2023-02-15 14:57:00
12510.67571072206,12518.05892920358,12519.39736003956,12510.67571072206,1676473080000,2023-02-15 14:58:00
12517.99207397955,12522.82149192639,12524.2600114515,12517.99207397955,1676473140000,2023-02-15 14:59:00
12521.66646939118,12540.67500498442,12544.37029884493,12520.68336810506,1676473200000,2023-02-15 15:00:00
12540.74026745422,12532.3158347141,12544.62056660336,12531.38548165861,1676473260000,2023-02-15 15:01:00
12533.51864171677,12518.03596895965,12533.51864171677,12517.19227752727,1676473320000,2023-02-15 15:02:00
12519.73265979125,12527.89386407464,12532.27758431325,12516.625153619,1676473380000,2023-02-15 15:03:00
12526.8804930614,12531.19738178888,12535.39186456642,12525.26812448226,1676473440000,2023-02-15 15:04:00
12531.79492779283,12524.03494678431,12532.34954631971,12521.62540675983,1676473500000,2023-02-15 15:05:00
12523.12191114123,12518.62523065918,12531.63707083972,12517.29626239221,1676473560000,2023-02-15 15:06:00
12518.77795625745,12504.07622926701,12519.16549165024,12500.87347791282,1676473620000,2023-02-15 15:07:00
12504.25677422133,12495.59521035711,12509.29129430431,12489.47589282367,1676473680000,2023-02-15 15:08:00
12496.3367129454,12505.81820001758,12508.65199814502,12496.3367129454,1676473740000,2023-02-15 15:09:00
12505.11721170957,12509.89797261353,12512.60349900266,12504.88864126244,1676473800000,2023-02-15 15:10:00
12509.31410713433,12504.33428728947,12510.917354468,12501.17100991103,1676473860000,2023-02-15 15:11:00
12503.55336399135,12499.7631059516,12503.55336399135,12486.41675415109,1676473920000,2023-02-15 15:12:00
12500.25204743976,12516.86483878388,12517.11477484969,12500.25204743976,1676473980000,2023-02-15 15:13:00
12517.91674480184,12516.14110102506,12524.97195684056,12515.06765076153,1676474040000,2023-02-15 15:14:00
12516.18756079087,12522.74702053643,12524.55145428692,12516.06802158839,1676474100000,2023-02-15 15:15:00
12523.19282027248,12530.56499916351,12531.30754840664,12523.08377819253,1676474160000,2023-02-15 15:16:00
12530.92560872446,12540.94304895423,12541.44452864473,12528.8869616696,1676474220000,2023-02-15 15:17:00
12540.84058675505,12550.16965924233,12551.68208078129,12536.79014794443,1676474280000,2023-02-15 15:18:00
12550.95205540632,12552.55546292077,12553.29153098004,12547.84592884351,1676474340000,2023-02-15 15:19:00
12551.45566874558,12556.74324362096,12557.820219026,12548.34808203577,1676474400000,2023-02-15 15:20:00
12556.61177533122,12551.41905437877,12558.12435668271,12551.41905437877,1676474460000,2023-02-15 15:21:00
12550.7144541866,12556.56495647548,12557.51032787275,12550.67528790748,1676474520000,2023-02-15 15:22:00
